Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,BSA,Budget_SubActivity_BSA_Title,Budget_Line_Item,Program_Element_Budget_Line_Item_BLI_Title,Cost_Type,Cost_Type_Title,Add_Non_Add,FY_2025_Actuals_Quantity,FY_2025_Actuals_Amount,FY_2025_Reconciliation_Quantity,FY_2025_Reconciliation_Amount,FY_2025_Total_Quantity,FY_2025_Total_Amount,FY_2026_Discretionary_Enacted_Quantity,FY_2026_Discretionary_Enacted_Amount,FY_2026_PL_119_21_Spend_Plan_Quantity,FY_2026_PL_119_21_Spend_Plan_Amount,FY_2026_Total_Quantity,FY_2026_Total_Amount,FY_2027_Discretionary_Request_Quantity,FY_2027_Discretionary_Request_Amount,FY_2027_Mandatory_Quantity,FY_2027_Mandatory_Amount,FY_2027_Total_Quantity,FY_2027_Total_Amount,Classification
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Rockets,2348EA4000,"Shoulder Launched Munitions, All Types",R,Reserve Equip (MEMO NON ADD),Add,,2340,,,,2340,,92,,,,92,,382,,,,382,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Mines,7920E72501,"MINE, AT, VOLCANO, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,4,,,,4,,,,,,,,,,,,,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Mines,7920E72501,"MINE, AT, VOLCANO, All Types",R,Reserve Equip (MEMO NON ADD),Add,,1,,,,1,,,,,,,,,,,,,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Mines,0612E76740,Close Terrain Shaping Obstacle,T,NATL Guard Equip (MEMO NON ADD),Add,,3837,,,,3837,,,,,,,,,,,,,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Mines,0612E76740,Close Terrain Shaping Obstacle,R,Reserve Equip (MEMO NON ADD),Add,,719,,,,719,,,,,,,,,,,,,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Mines,0442EA0800,"Mines & Clearing Charges, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,11191,,,,11191,,1180,,,,1180,,3301,,,,3301,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Mines,0442EA0800,"Mines & Clearing Charges, All Types",R,Reserve Equip (MEMO NON ADD),Add,,2097,,,,2097,,221,,,,221,,619,,,,619,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Artillery Ammunition,8750E27501,"Artillery Propellants, Fuzes and Primers, All",T,NATL Guard Equip (MEMO NON ADD),Add,,44989,,,,44989,,4588,,,,4588,,1438,,,,1438,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Artillery Ammunition,8750E27501,"Artillery Propellants, Fuzes and Primers, All",R,Reserve Equip (MEMO NON ADD),Add,,8435,,,,8435,,860,,,,860,,270,,,,270,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Artillery Ammunition,3102E89500,"ARTILLERY PROJECTILE, 155MM, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,8636,,,,8636,,,,,,,,,,,,,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Artillery Ammunition,3102E89500,"ARTILLERY PROJECTILE, 155MM, All Types",R,Reserve Equip (MEMO NON ADD),Add,,1619,,,,1619,,,,,,,,,,,,,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Artillery Ammunition,0530E15101,"Artillery Cartridges, 75MM & 105MM, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,9554,,,,9554,,12925,,,,12925,,7814,,,,7814,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Artillery Ammunition,0530E15101,"Artillery Cartridges, 75MM & 105MM, All Types",R,Reserve Equip (MEMO NON ADD),Add,,1791,,,,1791,,2423,,,,2423,,1465,,,,1465,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Tank Ammunition,1120E22203,"Cartridges, Tank, 105MM And 120MM, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,33873,,,,33873,,30426,,,,30426,,35855,,,,35855,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Tank Ammunition,1120E22203,"Cartridges, Tank, 105MM And 120MM, All Types",R,Reserve Equip (MEMO NON ADD),Add,,6351,,,,6351,,5704,,,,5704,,6723,,,,6723,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Mortar Ammunition,6780E25500,"120MM Mortar, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,8616,,,,8616,,6936,,,,6936,,17063,,,,17063,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Mortar Ammunition,6780E25500,"120MM Mortar, All Types",R,Reserve Equip (MEMO NON ADD),Add,,1615,,,,1615,,1300,,,,1300,,3199,,,,3199,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Mortar Ammunition,3584E76000,"81MM Mortar, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,10725,,,,10725,,5259,,,,5259,,16951,,,,16951,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Mortar Ammunition,3584E76000,"81MM Mortar, All Types",R,Reserve Equip (MEMO NON ADD),Add,,2012,,,,2012,,986,,,,986,,3178,,,,3178,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Mortar Ammunition,0050E89600,"60MM Mortar, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,8584,,,,8584,,6098,,,,6098,,10189,,,,10189,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,0132E00700,"CTG, 5.56MM, All Types",R,Reserve Equip (MEMO NON ADD),Add,,2523,,,,2523,,3848,,,,3848,,3431,,,,3431,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,,Small/Medium Cal Ammunition,0132E00700,"CTG, 5.56MM, All Types",T,NATL Guard Equip (MEMO NON ADD),Add,,13454,,,,13454,,20525,,,,20525,,18307,,,,18307,U
